epoch,loss,terrain,position,presence,class,action,trigger
1,24.223,5.267,3.654,0.736,1.124,1.094,1.387
2,19.665,3.451,3.148,0.306,1.083,0.962,1.270
3,17.188,2.908,2.758,0.151,1.072,0.883,1.140
4,15.842,2.668,2.526,0.110,0.986,0.864,1.111
5,15.012,2.337,2.469,0.093,0.746,0.858,1.105
6,14.011,1.966,2.401,0.082,0.453,0.828,1.077
7,13.415,1.792,2.378,0.075,0.257,0.783,0.994
8,13.256,1.711,2.418,0.068,0.207,0.706,0.890
9,12.880,1.698,2.387,0.064,0.185,0.613,0.773
10,12.520,1.632,2.366,0.066,0.172,0.526,0.660
11,12.138,1.580,2.333,0.061,0.164,0.475,0.528
12,12.060,1.576,2.362,0.059,0.152,0.392,0.432
13,11.742,1.553,2.328,0.057,0.146,0.322,0.354
14,11.542,1.543,2.315,0.053,0.157,0.236,0.295
15,11.346,1.530,2.303,0.048,0.140,0.182,0.234
16,11.470,1.525,2.344,0.053,0.141,0.166,0.210
17,11.317,1.531,2.315,0.055,0.127,0.149,0.195
18,11.157,1.519,2.284,0.045,0.131,0.135,0.192
19,11.147,1.523,2.287,0.044,0.126,0.136,0.171
20,11.071,1.517,2.275,0.043,0.125,0.122,0.164
21,11.122,1.524,2.287,0.046,0.127,0.118,0.160
22,11.060,1.499,2.284,0.045,0.116,0.112,0.151
23,11.023,1.504,2.260,0.046,0.128,0.146,0.161
24,10.974,1.512,2.263,0.048,0.101,0.110,0.149
25,10.946,1.549,2.245,0.042,0.109,0.111,0.155
26,10.783,1.494,2.221,0.047,0.102,0.109,0.145
27,10.814,1.502,2.227,0.041,0.122,0.103,0.138
28,10.739,1.488,2.219,0.042,0.103,0.095,0.135
29,10.741,1.500,2.215,0.037,0.101,0.104,0.138
30,10.717,1.502,2.204,0.042,0.108,0.121,0.127
31,10.782,1.508,2.221,0.037,0.103,0.114,0.134
32,10.718,1.513,2.206,0.037,0.100,0.096,0.147
33,10.639,1.501,2.195,0.039,0.102,0.096,0.120
34,10.633,1.500,2.192,0.040,0.100,0.098,0.129
35,10.664,1.498,2.202,0.039,0.103,0.099,0.118
36,10.645,1.498,2.203,0.036,0.098,0.086,0.115
37,10.571,1.488,2.182,0.034,0.098,0.099,0.123
38,10.477,1.485,2.165,0.039,0.099,0.087,0.106
39,10.427,1.482,2.153,0.034,0.099,0.080,0.121
40,10.397,1.486,2.142,0.031,0.089,0.094,0.128
41,10.356,1.480,2.136,0.032,0.105,0.081,0.114
42,10.428,1.548,2.136,0.034,0.098,0.077,0.127
43,10.281,1.490,2.118,0.037,0.088,0.082,0.114
44,10.483,1.502,2.164,0.033,0.083,0.100,0.108
45,10.373,1.507,2.138,0.037,0.085,0.080,0.112
